Set,Name,Theme,Year,Parts,Store,Cost,Discount
41912-1,Love Birds,DOTS,2020,33,"Amazon US(Amazon, US)","CFA2,693Avg: CFA5,010",46%
70830-1,Sweet Mayhem's Systar Starship!,The LEGO Movie,2019,502,"Just Brick It!(BrickLink, US)","CFA22,666Avg: CFA42,094",46%
5002204-1,Western Emmet,The LEGO Movie,2014,6,"Eirgo(BrickOwl, IE)","CFA3,929Avg: CFA7,295",46%
30370-1,Deep Sea Diver,Town,2020,22,"Steinchenwelt(BrickOwl, DE)","CFA2,270Avg: CFA4,213",46%
71018-1,Professional Surfer,Collectible Minifigures,2017,6,"Bricks Space(BrickOwl, IT)","CFA2,486Avg: CFA4,609",46%
71018-1,Professional Surfer,Collectible Minifigures,2017,6,"Eirgo(BrickOwl, IE)","CFA2,486Avg: CFA4,609",46%
271606-1,Knight Racer,Nexo Knights,2016,21,"Brick Takeover(BrickOwl, DE)","CFA966Avg: CFA1,788",46%
891834-1,Lloyd,Ninjago,2018,8,"Brick Takeover(BrickOwl, DE)","CFA1,496Avg: CFA2,761",46%
76066-1,Mighty Micros: Hulk vs. Ultron,Super Heroes Marvel,2016,80,"Brick Door(BrickOwl, US)","CFA3,508Avg: CFA6,457",46%
60281-1,Fire Rescue Helicopter,Town,2021,212,"eBay US(eBay, US)","CFA10,793Avg: CFA19,786",45%
43180-1,Belle's Castle Winter Celebration,Disney Princess,2020,238,"eBay US(eBay, US)","CFA16,729 Avg: CFA30,640",45%
271608-1,Kid Clay,Nexo Knights,2016,18,"Badeloch's Bricks(BrickOwl, NL)","CFA1,312Avg: CFA2,402",45%
30365-1,Space Satellite,Town,2019,36,"Detalka(BrickLink, RU)","CFA1,457Avg: CFA2,661",45%
42113-1,Bell Boeing V-22 Osprey,Technic,2020,1635,"PRO_BRO_BRICKS(BrickOwl, RU)","CFA262,088Avg: CFA478,158",45%
70820-1,Movie Maker,The LEGO Movie,2019,482,"eBay US(eBay, US)","CFA16,724Avg: CFA30,493",45%
60111-1,Fire Utility Truck,Town,2016,368,"eBay US(eBay, US)","CFA19,428Avg: CFA35,352",45%
30555-1,Poppy's Carriage,Trolls: World Tour,2020,61,"ubertoys.eu(BrickOwl, BE)","CFA2,073Avg: CFA3,768",45%
271824-1,Robin,Nexo Knights,2018,16,"Badeloch's Bricks(BrickOwl, NL)","CFA1,476Avg: CFA2,675",45%
41164-1,Enchanted Treehouse,Disney,2019,302,"eBay US(eBay, US)","CFA16,163Avg: CFA29,267",45%
5002812-1,Classic Spaceman Minifigure,Space,2014,18,"Brick Takeover(BrickOwl, DE)","CFA7,509Avg: CFA13,551",45%
71023-1,Awesome Remix Emmet,Collectible Minifigures,2019,7,"uberbrick(BrickOwl, US)","CFA1,506Avg: CFA2,712",44%
75967-1,Forbidden Forest: Umbridge’s Encounter,Harry Potter,2020,254,"eBay US(eBay, US)","CFA10,453Avg: CFA18,824",44%
40380-1,Sheep,Brickheadz,2020,192,"Amazon US(Amazon, US)","CFA5,229Avg: CFA9,370",44%
77905-1,Taskmaster's Ambush,Super Heroes Marvel,2020,230,"eBay US(eBay, US)","CFA30,156Avg: CFA53,992",44%
21163-1,The Redstone Battle,Minecraft,2020,511,"eBay US(eBay, US)","CFA16,055Avg: CFA28,698",44%
80006-1,White Dragon Horse Bike,Monkie Kid,2020,259,"Amazon US(Amazon, US)","CFA12,892Avg: CFA23,041",44%
30365-1,Space Satellite,Town,2019,36,"Block Runner(BrickLink, US)","CFA1,495Avg: CFA2,661",44%
75549-1,Unstoppable Bike Chase,Minions,2020,136,"eBay US(eBay, US)","CFA9,169Avg: CFA16,318",44%
40402-1,Youth Day Kids,LEGO Brand Store,2020,63,"Brickfest(BrickOwl, DE)","CFA3,898Avg: CFA6,937",44%
5005233-1,Hamleys Royal Guard,Collectible Minifigures,2017,5,"Personal Bricks(BrickOwl, MY)","CFA4,007Avg: CFA7,125",44%
40402-1,Youth Day Kids,LEGO Brand Store,2020,63,"steinwerk24_com(BrickOwl, DE)","CFA3,903Avg: CFA6,937",44%
71368-1,Toad's Treasure Hunt Expansion Set,Super Mario,2020,464,"eBay US(eBay, US)","CFA26,978Avg: CFA47,933",44%
75278-1,D-O,Star Wars,2020,519,"eBay US(eBay, US)","CFA24,285Avg: CFA43,128",44%
271603-1,Robin,Nexo Knights,2016,23,"Badeloch's Bricks(BrickOwl, NL)","CFA1,148Avg: CFA2,039",44%
8028-1,TIE Fighter - Mini,Star Wars,2008,44,"gritts bricks(BrickOwl, GB)","CFA1,986Avg: CFA3,522",44%
951908-1,Astronaut,Town,2019,18,"Badeloch's Bricks(BrickOwl, NL)","CFA1,476Avg: CFA2,616",44%
70901-1,Mr. Freeze Ice Attack,Super Heroes DC,2017,201,"eBay US(eBay, US)","CFA8,089Avg: CFA14,318",44%
75947-1,Hagrid's Hut: Buckbeak's Rescue,Harry Potter,2019,496,"eBay US(eBay, US)","CFA21,581Avg: CFA38,186",43%
21319-1,Central Perk,LEGO Ideas and CUUSOO,2019,1070,"Amazon US(Amazon, US)","CFA29,136List: CFA32,374Avg: CFA57,242",43%
891835-1,Sawyer,Ninjago,2018,11,"Brick Takeover(BrickOwl, DE)","CFA1,565Avg: CFA2,759",43%
40268-1,R3-M2,Star Wars,2017,22,"The Brickening(BrickOwl, DK)","CFA3,745Avg: CFA6,600",43%
71000-1,Waiter,Collectible Minifigures,2013,7,"Bricks without Mortar(BrickOwl, US)","CFA8,224Avg: CFA14,488",43%
40371-1,Easter Egg,Seasonal,2020,239,"1brick4all(BrickOwl, IT)","CFA5,904Avg: CFA10,361",43%
30575-1,Train,Creator,2020,59,"BlainesWorld(BrickOwl, US)","CFA1,889Avg: CFA3,313",43%
30280-1,The Piece of Resistance,The LEGO Movie,2014,33,"PikkaBrikka(BrickOwl, CZ)","CFA3,525Avg: CFA6,175",43%
891833-1,Jay,Ninjago,2018,13,"Badeloch's Bricks(BrickOwl, NL)","CFA1,804Avg: CFA3,159",43%
71343-1,The Powerpuff Girls Fun Pack,Dimensions,2017,56,"Brick Takeover(BrickOwl, DE)","CFA4,023Avg: CFA7,028",43%
88006-1,Move Hub,Power Functions,2019,1,"Amazon US(Amazon, US)","CFA29,622Avg: CFA51,685",43%
30403-1,Olivia's Remote Control Boat,Friends,2018,25,"Badeloch's Bricks(BrickOwl, NL)","CFA1,476Avg: CFA2,572",43%
30241-1,Mandalorian Fighter,Star Wars,2013,49,"For Fans - cheap shipping(BrickLink, RU)","CFA3,634Avg: CFA6,325",43%
561510-1,Trick Or Treat,Friends,2015,19,"Badeloch's Bricks(BrickOwl, NL)","CFA1,148Avg: CFA1,998",43%
75116-1,Finn,Star Wars,2016,98,"TimsBrickHouse(BrickOwl, US)","CFA7,706Avg: CFA13,407",43%
41902-1,Sparkly Unicorn,DOTS,2020,33,"Steinchenwelt(BrickOwl, DE)","CFA2,886Avg: CFA5,011",42%
41912-1,Love Birds,DOTS,2020,33,"Steinchenwelt(BrickOwl, DE)","CFA2,886Avg: CFA5,010",42%
88012-1,Technic Hub,Technic,2020,1,"Brick Takeover(BrickOwl, DE)","CFA25,681Avg: CFA44,572",42%
76157-1,Wonder Woman vs. Cheetah,Super Heroes DC,2020,371,"eBay US(eBay, US)","CFA16,184Avg: CFA28,088",42%
41594-1,Captain Armando Salazar,Brickheadz,2017,118,"We-Like-It Bricks(BrickOwl, US)","CFA4,857Avg: CFA8,429",42%
30624-1,Obi-Wan Kenobi - Collectible Minifigure,Star Wars,2019,12,"Darth Business Outlet(BrickOwl, US)","CFA5,127Avg: CFA8,895",42%
70830-1,Sweet Mayhem's Systar Starship!,The LEGO Movie,2019,502,"The Country Brick Man(BrickLink, US)","CFA24,285Avg: CFA42,094",42%
41914-1,Picture Frame,DOTS,2020,400,"eBay US(eBay, US)","CFA6,411Avg: CFA11,111",42%
40178-1,Iconic VIP Set,LEGO Brand Store,2017,205,"ubertoys.eu(BrickOwl, BE)","CFA7,645Avg: CFA13,221",42%
891839-1,Cole,Ninjago,2018,22,"Brick Takeover(BrickOwl, DE)","CFA1,440Avg: CFA2,480",42%
71023-1,Awesome Remix Emmet,Collectible Minifigures,2019,7,"RockerBricks(BrickOwl, DE)","CFA1,574Avg: CFA2,712",42%
71007-1,Wizard,Collectible Minifigures,2014,11,"Bricks in Bloom(BrickOwl, GB)","CFA4,240Avg: CFA7,294",42%
852996-1,Max,Other,2010,4,"WayTooManyBricks(BrickOwl, GB)","CFA2,364Avg: CFA4,056",42%
30221-1,Fire Car,Town,2013,36,"Bizzy Blox(BrickOwl, US)","CFA2,698Avg: CFA4,630",42%
30464-1,El Fuego's Stunt Cannon,Hidden Side,2020,46,"steinwerk24_com(BrickOwl, DE)","CFA1,961Avg: CFA3,363",42%
40426-1,Christmas Wreath 2-in-1,Seasonal,2020,510,"Amazon US(Amazon, US)","CFA18,343List: CFA21,581Avg: CFA36,998",42%
40412-1,Hagrid & Buckbeak,Brickheadz,2020,270,"Relax to Brick(BrickLink, HK)","CFA16,704 Avg: CFA28,625",42%
11001-1,Bricks and Ideas,Classic,2019,123,"Johnny's Brickshop(BrickLink, US)","CFA3,778Avg: CFA6,474",42%
11001-1,Bricks and Ideas,Classic,2019,123,"Another Brick Store(BrickLink, US)","CFA3,778Avg: CFA6,474",42%
