Set,Name,Theme,Year,Parts,Store,Cost,Discount
75182-1,Republic Fighter Tank,Star Wars,2017,305,"eBay US(eBay, US)","CFA53,960Avg: CFA25,447",-
30383-1,Naboo Starfighter,Star Wars,2019,48,"CoSuRa(BrickOwl, DE)","CFA7,865Avg: CFA3,703",-
80101-1,Chinese New Year's Eve Dinner,Chinese Traditional Festivals,2019,616,"Amazon US(Amazon, US)","CFA215,836Avg: CFA101,397",-
75261-1,Clone Scout Walker - 20th Anniversary Edition,Star Wars,2019,250,"Amazon US(Amazon, US)","CFA53,960Avg: CFA25,337",-
40422-1,Frankenstein,Brickheadz,2020,108,"1brick4all(BrickOwl, IT)","CFA25,582Avg: CFA12,001",-
10220-1,Volkswagen T1 Camper Van,Creator,2011,1333,"Brick Takeover(BrickOwl, DE)","CFA150,837Avg: CFA70,701",-
75265-1,T-16 Skyhopper vs. Bantha Microfighters,Star Wars,2020,198,"We-Like-It Bricks(BrickOwl, US)","CFA25,904Avg: CFA12,119",-
6851-1,Tri-Wheeled Tyrax,Space,1991,38,"Set Shop Boy(BrickOwl, DE)","CFA130,535Avg: CFA61,023",-
76113-1,Spider-Man Bike Rescue,Super Heroes Marvel,2019,243,"Amazon US(Amazon, US)","CFA29,654Avg: CFA13,844",-
21042-1,Statue of Liberty,Architecture,2018,1685,"1brick4all(BrickOwl, IT)","CFA130,535Avg: CFA60,873",-
70591-1,Kryptarium Prison Breakout,Ninjago,2016,208,"eBay US(eBay, US)","CFA29,115Avg: CFA13,576",-
21149-1,Minecraft Alex BigFig with Chicken,Minecraft,2019,160,"1brick4all(BrickOwl, IT)","CFA25,582Avg: CFA11,909",-
70611-1,Water Strider,Ninjago,2017,494,"eBay US(eBay, US)","CFA53,426Avg: CFA24,837",-
75881-1,2016 Ford GT & 1966 Ford GT40,Speed Champions,2017,373,"Brick Takeover(BrickOwl, DE)","CFA82,618Avg: CFA38,381",-
5006288-1,Key Chain with Mini Notebook,DOTS,2021,21,"Amazon US(Amazon, US)","CFA13,481Avg: CFA6,262",-
42118-1,Monster Jam Grave Digger,Technic,2021,212,"eBay US(eBay, US)","CFA26,125Avg: CFA12,122",-
75169-1,Duel on Naboo,Star Wars,2017,208,"eBay US(eBay, US)","CFA39,935Avg: CFA18,521",-
11943-1,Ant,Creator,2020,25,"Amazon US(Amazon, US)","CFA9,271Avg: CFA4,295",-
10243-1,Parisian Restaurant,Modular Buildings,2014,2470,"1brick4all(BrickOwl, IT)","CFA261,727Avg: CFA121,223",-
41691-1,Doggy Day Care,Friends,2021,221,"eBay US(eBay, US)","CFA26,125Avg: CFA12,085",-
70666-1,The Golden Dragon,Ninjago,2019,171,"Amazon US(Amazon, US)","CFA25,769Avg: CFA11,920",-
10885-1,My First Fun Puzzle,Duplo,2019,15,"Amazon US(Amazon, US)","CFA24,274Avg: CFA11,218",-
41329-1,Olivia's Deluxe Bedroom,Friends,2018,163,"eBay US(eBay, US)","CFA19,428Avg: CFA8,975",-
7498-1,Police Station,Town,2011,786,"Whit’s Bricks(BrickOwl, US)","CFA134,915Avg: CFA62,285",-
70624-1,Vermillion Invader,Ninjago,2017,313,"eBay US(eBay, US)","CFA50,744Avg: CFA23,416",-
41145-1,Ariel and the Magical Spell,Disney Princess,2017,222,"RUBRICK by majonas(BrickLink, DE)","CFA36,765Avg: CFA16,934",-
75895-1,1974 Porsche 911 Turbo 3.0,Speed Champions,2019,180,"South West Bricks UK(BrickOwl, GB)","CFA22,877Avg: CFA10,537",-
8422-1,Circuit Shock Racer / V-Twin Super Bike,Technic,1995,314,"Set Shop Boy(BrickOwl, DE)","CFA117,416Avg: CFA54,067",-
30408-1,Tulips,Friends,2019,90,"Amazon US(Amazon, US)","CFA7,528Avg: CFA3,465",-
30451-1,Spider-Man's Mini Spider Crawler,Super Heroes Marvel,2019,73,"Amazon US(Amazon, US)","CFA7,010List: CFA7,820Avg: CFA3,597",-
41126-1,Heartlake Riding Club,Friends,2016,590,"eBay US(eBay, US)","CFA91,737Avg: CFA42,192",-
79015-1,Witch-King Battle,The Hobbit and Lord of the Rings,2014,101,"Collectors True Paradise(BrickLink, HU)","CFA40,224Avg: CFA18,493",-
10264-1,Corner Garage,Modular Buildings,2019,2569,"1brick4all(BrickOwl, IT)","CFA261,727Avg: CFA120,329",-
10893-1,Spider-Man vs. Electro,Duplo,2019,29,"Amazon US(Amazon, US)","CFA29,676Avg: CFA13,614",-
40327-1,Ice Cream Truck,LEGO Brand Store,2019,48,"Amazon US(Amazon, US)","CFA8,629Avg: CFA3,958",-
40428-1,The Joker,Brick Sketches,2020,170,"Amazon US(Amazon, US)","CFA29,136List: CFA32,374Avg: CFA14,823",-
40274-1,Mr. Claus & Mrs. Claus,Brickheadz,2018,341,"1brick4all(BrickOwl, IT)","CFA32,142Avg: CFA14,711",-
30283-1,Off-Road,Creator,2015,43,"Brick-A-Lot(BrickOwl, GB)","CFA5,948Avg: CFA2,722",-
40204-1,Pilgrim's Feast,Seasonal,2016,163,"3_BRICKS(BrickOwl, SI)","CFA15,592Avg: CFA7,135",-
40272-1,Witch,Brickheadz,2018,151,"1brick4all(BrickOwl, IT)","CFA19,023Avg: CFA8,692",-
21323-1,Grand Piano,LEGO Ideas and CUUSOO,2020,3662,"eBay IT(eBay, IT)","CFA524,700Avg: CFA239,472",-
88011-1,Train Motor,Power Functions,2019,7,"Amazon US(Amazon, US)","CFA21,041Avg: CFA9,598",-
21036-1,Arc de Triomphe,Architecture,2017,386,"Brick Takeover(BrickOwl, DE)","CFA76,698Avg: CFA34,950",-
40337-1,Mini Gingerbread House,Seasonal,2019,499,"3_BRICKS(BrickOwl, SI)","CFA42,526Avg: CFA19,374",-
70662-1,Spinjitzu Cole,Ninjago,2019,117,"Amazon US(Amazon, US)","CFA14,317Avg: CFA6,518",-
41127-1,Amusement Park Arcade,Friends,2016,174,"eBay US(eBay, US)","CFA25,364Avg: CFA11,539",-
71007-1,Wizard,Collectible Minifigures,2014,11,"Forever Sorting(BrickOwl, PT)","CFA16,034Avg: CFA7,294",-
21313-1,Ship in a Bottle,LEGO Ideas and CUUSOO,2018,962,"1brick4all(BrickOwl, IT)","CFA130,535Avg: CFA59,374",-
10270-1,Bookshop,Modular Buildings,2020,2504,"1brick4all(BrickOwl, IT)","CFA242,048Avg: CFA109,751",-
75879-1,Scuderia Ferrari SF16-H,Speed Champions,2017,184,"eBay US(eBay, US)","CFA35,018Avg: CFA15,875",-
40353-1,"Reindeer, Elf & Elfie",Brickheadz,2019,281,"1brick4all(BrickOwl, IT)","CFA32,142Avg: CFA14,563",-
40253-1,Christmas Build-Up,Seasonal,2017,254,"Brick-A-Lot(BrickOwl, GB)","CFA21,352Avg: CFA9,672",-
854038-1,Christmas Ornament Reindeer,Seasonal,2020,34,"Amazon US(Amazon, US)","CFA10,766Avg: CFA4,875",-
60143-1,Auto Transport Heist,Town,2017,403,"eBay US(eBay, US)","CFA82,568Avg: CFA37,297",-
5002123-1,Darth Revan,Star Wars,2014,7,"NewTown_Brickworks(BrickOwl, US)","CFA64,759Avg: CFA29,247",-
41235-1,Wonder Woman Dorm,DC Super Hero Girls,2017,186,"eBay US(eBay, US)","CFA51,262Avg: CFA23,145",-
76062-1,Mighty Micros: Robin vs. Bane,Super Heroes DC,2016,77,"3_BRICKS(BrickOwl, SI)","CFA14,737Avg: CFA6,652",-
60179-1,Ambulance Helicopter,Town,2018,190,"eBay US(eBay, US)","CFA27,927Avg: CFA12,598",-
853744-1,Knightmare Batman Accessory Set,Super Heroes DC,2018,47,"Brickville(BrickOwl, BE)","CFA22,958Avg: CFA10,349",-
10197-1,Fire Brigade,Modular Buildings,2009,2236,"The Brick Zone(BrickLink, US)","CFA539,108Avg: CFA242,982",-
10908-1,Plane,Duplo,2019,12,"Amazon US(Amazon, US)","CFA13,459Avg: CFA6,065",-
40465-1,Food,Xtra,2021,36,"Amazon UK(Amazon, GB)","CFA7,618Avg: CFA3,432",-
21307-1,Caterham Seven 620R,LEGO Ideas and CUUSOO,2016,771,"1brick4all(BrickOwl, IT)","CFA143,655Avg: CFA64,680",-
10257-1,Carousel,Creator,2017,2670,"1brick4all(BrickOwl, IT)","CFA327,323Avg: CFA147,292",-
70639-1,Street Race of Snake Jaguar,Ninjago,2018,308,"eBay US(eBay, US)","CFA42,633Avg: CFA19,175",-
9469-1,Gandalf Arrives,The Hobbit and Lord of the Rings,2012,83,"The Magic Brick!(BrickLink, PT)","CFA52,522Avg: CFA23,593",-
21041-1,Great Wall of China,Architecture,2018,550,"1brick4all(BrickOwl, IT)","CFA78,059Avg: CFA35,023",-
70588-1,Titanium Ninja Tumbler,Ninjago,2016,343,"eBay US(eBay, US)","CFA45,871Avg: CFA20,570",-
75232-1,Kylo Ren & Sith Trooper,Brickheadz,2019,240,"Amazon UK(Amazon, GB)","CFA34,308Avg: CFA15,385",-
41145-1,Ariel and the Magical Spell,Disney Princess,2017,222,"4 Button's bricks(BrickLink, US)","CFA37,771Avg: CFA16,934",-
41342-1,Emma's Deluxe Bedroom,Friends,2018,183,"eBay US(eBay, US)","CFA21,581Avg: CFA9,676",-
70659-1,Spinjitzu Kai,Ninjago,2019,97,"Amazon US(Amazon, US)","CFA14,565Avg: CFA6,526",-
561911-1,Olivia's Brilliant Bakery,Friends,2019,38," Amazon UK(Amazon, GB)","CFA5,330Avg: CFA2,387",-
40205-1,Elves' Workshop,Seasonal,2016,238,"eBay US(eBay, US)","CFA21,581Avg: CFA9,659",-
2000456-1,SPIKE Prime Marketing Kit,Educational and Dacta,2019,150,"Amazon US(Amazon, US)","CFA16,163Avg: CFA7,232",-
1250-1,Dragster,Town,1999,25,"Brickville(BrickOwl, BE)","CFA6,560Avg: CFA2,932",-
8870-1,Power Functions Light,Power Functions,2009,1,"Brick Takeover(BrickOwl, DE)","CFA12,756Avg: CFA5,693",-
5004393-1,Stone Armor Cole,Ninjago,2016,7,"Ivaleksa(BrickOwl, RS)","CFA9,839Avg: CFA4,380",-
41145-1,Ariel and the Magical Spell,Disney Princess,2017,222,"Northern Lights(BrickLink, NO)"," CFA38,149Avg: CFA16,934",-
10118-1,Accessories Star,Clikits,2004,50,"Brick Takeover(BrickOwl, DE)","CFA26,205Avg: CFA11,630",-
8805-1,Graduate,Collectible Minifigures,2011,7,"Forever Sorting(BrickOwl, PT)","CFA29,153Avg: CFA12,911",-
70622-1,Desert Lightning,Ninjago,2017,201,"eBay US(eBay, US)","CFA43,167Avg: CFA19,106",-
31087-1,Dune Buggy,Creator,2019,147,"Brick Takeover(BrickOwl, DE)","CFA17,678Avg: CFA7,820",-
76117-1,Batman Mech vs. Poison Ivy Mech,Super Heroes DC,2019,394,"Amazon UK(Amazon, GB)","CFA53,373Avg: CFA23,606",-
60142-1,Money Transporter,Town,2017,138,"eBay US(eBay, US)","CFA37,771Avg: CFA16,705",-
71311-1,Kopaka and Melum - Unity set,Bionicle,2016,171,"eBay US(eBay, US)","CFA132,216Avg: CFA58,380",-
5004939-1,Collectible Minifigures - The Lego Batman Movie,Collectible Minifigures,2017,27,"NewTown_Brickworks(BrickOwl, US)","CFA50,593Avg: CFA22,337",-
40412-1,Hagrid & Buckbeak,Brickheadz,2020,270,"1brick4all(BrickOwl, IT)","CFA64,940Avg: CFA28,625",-
561901-1,Emma's Studio and Kitty Chico,Friends,2019,22,"Amazon US(Amazon, US)","CFA5,127Avg: CFA2,260",-
41406-1,Stephanie's Shopping Play Cube,Friends,2020,44,"Amazon US(Amazon, US)","CFA12,277Avg: CFA5,409",-
41325-1,Heartlake City Playground,Friends,2017,326,"eBay US(eBay, US)","CFA85,239Avg: CFA37,545",-
70664-1,Spinjitzu Lloyd vs. Garmadon,Ninjago,2019,208,"Amazon US(Amazon, US)","CFA28,003Avg: CFA12,320",-
30367-1,Police Helicopter,Town,2020,39,"Amazon US(Amazon, US)","CFA4,814List: CFA5,909Avg: CFA2,595",-
41692-1,Vet Clinic Rescue Helicopter,Friends,2021,249,"Amazon UK(Amazon, GB)","CFA24,959List: CFA26,240Avg: CFA11,508",-
30628-1,The Monster Book of Monsters,Harry Potter,2020,320,"Forever Sorting(BrickOwl, PT)","CFA72,886Avg: CFA31,951",-
8827-1,Classic Alien,Collectible Minifigures,2012,6,"Forever Sorting(BrickOwl, PT)","CFA14,578Avg: CFA6,390",-
40201-1,Valentines Cupid Dog,Seasonal,2016,150,"Forever Sorting(BrickOwl, PT)","CFA36,441Avg: CFA15,965",-
75228-1,Escape Pod vs. Dewback Microfighters,Star Wars,2019,177,"Amazon US(Amazon, US)","CFA29,676Avg: CFA12,975",-
70620-1,NINJAGO City,Ninjago,2017,4873,"A BRICK TOO FAR...(BrickOwl, US)","CFA593,619Avg: CFA259,212",-
8684-1,Mariachi / Maraca Man,Collectible Minifigures,2010,9,"Forever Sorting(BrickOwl, PT)","CFA21,866Avg: CFA9,545",-
952001-1,Policeman & Motorbike,Town,2020,15,"Amazon UK(Amazon, GB)","CFA5,330Avg: CFA2,326",-
5006085-1,Buildable 2x4 Red Brick,Promotional,2019,72,"Amazon US(Amazon, US)","CFA32,374Avg: CFA14,125",-
60234-1,People Pack - Fun Fair,Town,2019,184,"Brick Takeover(BrickOwl, DE)","CFA55,756Avg: CFA24,302",-
75226-1,Inferno Squad Battle Pack,Star Wars,2019,118,"Amazon US(Amazon, US)","CFA24,824Avg: CFA10,795",-
30241-1,Mandalorian Fighter,Star Wars,2013,49,"Forever Sorting(BrickOwl, PT)","CFA14,578Avg: CFA6,325",-
30241-1,Mandalorian Fighter,Star Wars,2013,49,"Give Me A Brick ϟ(BrickLink, PT)","CFA14,591Avg: CFA6,325",-
41614-1,Owen & Blue,Brickheadz,2018,234,"1brick4all(BrickOwl, IT)","CFA32,142Avg: CFA13,933",-
75978-1,Diagon Alley,Harry Potter,2020,5549,"1brick4all(BrickOwl, IT)","CFA634,966Avg: CFA275,020",-
6887-1,Allied Avenger,Space,1991,100,"Set Shop Boy(BrickOwl, DE)","CFA228,929Avg: CFA99,029",-
70612-1,Green Ninja Mech Dragon,Ninjago,2017,544,"Swiss House(BrickLink, CH)","CFA78,319Avg: CFA33,878",-
79015-1,Witch-King Battle,The Hobbit and Lord of the Rings,2014,101,"Boomerang Bricks(BrickLink, CA)","CFA42,791Avg: CFA18,493",-
41400-1,Andrea’s Play Cube,Friends,2020,49,"Amazon US(Amazon, US)","CFA12,946Avg: CFA5,576",-
41345-1,Heartlake City Pet Center,Friends,2018,483,"eBay US(eBay, US)","CFA83,642Avg: CFA35,903",-
7194-1,Yoda,Star Wars,2002,1076,"Brickbusters(BrickLink, UK)","CFA759,290Avg: CFA325,627",-
854037-1,Christmas Ornament Santa,Seasonal,2020,44,"Amazon US(Amazon, US)","CFA4,312List: CFA10,788Avg: CFA4,625",-
21146-1,The Skeleton Attack,Minecraft,2018,457,"eBay US(eBay, US)","CFA86,345Avg: CFA36,996",-
70677-1,Land Bounty,Ninjago,2019,1187,"Brick Takeover(BrickOwl, DE)","CFA186,941 Avg: CFA80,085",-
30083-1,Dragon Fight,Ninjago,2011,31,"POCKET BRICKS SUPER SALE(BrickOwl, IE)","CFA13,119Avg: CFA5,617",-
70590-1,Airjitzu Battle Grounds,Ninjago,2016,666,"eBay US(eBay, US)","CFA89,578Avg: CFA38,350",-
75225-1,Elite Praetorian Guard Battle Pack,Star Wars,2019,109,"Amazon US(Amazon, US)","CFA24,258 Avg: CFA10,380",-
41598-1,The Flash,Brickheadz,2018,122,"1brick4all(BrickOwl, IT)","CFA25,582Avg: CFA10,937",-
7661-1,Jedi Starfighter with Hyperdrive Booster Ring,Star Wars,2007,575,"Legrobi(BrickLink, HU)"," CFA262,610Avg: CFA111,820",-
41609-1,Chewbacca,Brickheadz,2018,149,"eBay US(eBay, US)","CFA24,279Avg: CFA10,331",-
7675-1,AT-TE Walker,Star Wars,2008,810,"Missing Brick(BrickLink, US)","CFA369,666Avg: CFA157,108",-
41118-1,Heartlake Supermarket,Friends,2016,316,"eBay US(eBay, US)","CFA62,055Avg: CFA26,349",-
77904-1,Nebulon-B Frigate,Star Wars,2020,459,"Bricks in Sweden(BrickOwl, SE)","CFA162,976Avg: CFA69,058",-
71010-1,Wolf Guy,Collectible Minifigures,2015,6,"Brick Takeover(BrickOwl, DE)","CFA10,463Avg: CFA4,433",-
40460-1,Roses,Other,2021,120,"Amazon US(Amazon, US)","CFA29,654Avg: CFA12,551",-
40367-1,Lady Liberty,Brickheadz,2019,153,"1brick4all(BrickOwl, IT)","CFA22,958Avg: CFA9,709",- 
75877-1,Mercedes-AMG GT3,Speed Champions,2017,203,"BrickGo(BrickLink, CZ)","CFA50,453Avg: CFA21,333",-
70673-1,ShuriCopter,Ninjago,2019,363,"eBay US(eBay, US)","CFA40,447Avg: CFA17,096",-
60240-1,Kayak Adventure,Town,2019,84,"Brick Takeover(BrickOwl, DE)","CFA15,954Avg: CFA6,730",-
6910-1,Mini Sports Car,Creator,2012,70,"Save-A-Brick(BrickOwl, NL)","CFA9,833Avg: CFA4,146",-
42089-1,Power Boat,Technic,2019,174,"Amazon US(Amazon, US)","CFA23,988Avg: CFA10,113",-
10260-1,Downtown Diner,Modular Buildings,2018,2480,"1brick4all(BrickOwl, IT)","CFA261,727Avg: CFA110,206",-
31109-1,Pirate Ship,Creator,2020,1262,"1brick4all(BrickOwl, IT)","CFA143,655Avg: CFA60,391",-
21028-1,New York City,Architecture,2016,598,"Brick Takeover(BrickOwl, DE)","CFA78,682Avg: CFA32,991",-
21316-1,The Flintstones,LEGO Ideas and CUUSOO,2019,748,"eBay US(eBay, US)","CFA80,943Avg: CFA33,917",-
79015-1,Witch-King Battle,The Hobbit and Lord of the Rings,2014,101,"Jensen's Brick Shop(BrickLink, DK)","CFA44,142Avg: CFA18,493",-
21303-1,WALL•E [Original Version],LEGO Ideas and CUUSOO,2015,677,": Pricey, but worth it(BrickOwl, ES)","CFA262,383Avg: CFA109,919",-
9469-1,Gandalf Arrives,The Hobbit and Lord of the Rings,2012,83,"My Surpluses(BrickLink, CZ)","CFA56,334Avg: CFA23,593",-
75979-1,Hedwig,Harry Potter,2020,630,"1brick4all(BrickOwl, IT)","CFA64,940Avg: CFA27,187",-
70612-1,Green Ninja Mech Dragon,Ninjago,2017,544,"Bluewater Bricks(BrickLink, CA)","CFA80,949Avg: CFA33,878",-
111902-1,Wu,Ninjago,2019,6,"Amazon UK(Amazon, GB)","CFA5,330Avg: CFA2,230",-
66651-1,Roller Coaster,Promotional,2020,109,"Amazon UK(Amazon, GB)","CFA60,999Avg: CFA25,463",-
41599-1,Wonder Woman,Brickheadz,2018,143,"1brick4all(BrickOwl, IT)","CFA25,582Avg: CFA10,670",-
40335-1,Space Rocket Ride,LEGO Ideas and CUUSOO,2019,154,"Forever Sorting(BrickOwl, PT)","CFA36,441Avg: CFA15,159",-
40376-1,Botanical Accessories,Xtra,2020,32,"Amazon US(Amazon, US)","CFA8,581Avg: CFA3,565",-
41407-1,Olivia's Shopping Play Cube,Friends,2020,47,"Amazon US(Amazon, US)","CFA13,087Avg: CFA5,436",-
10211-1,Grand Emporium,Modular Buildings,2010,2186,"BizzBricks(BrickOwl, IT)","CFA557,563Avg: CFA230,909",-
71023-1,Awesome Remix Emmet,Collectible Minifigures,2019,7,"Save-A-Brick(BrickOwl, NL)","CFA6,553Avg: CFA2,712",-
30364-1,Popcorn Cart,Town,2019,43,"CoSuRa(BrickOwl, DE)","CFA8,521Avg: CFA3,526",-
5005156-1,Gingerbread Man,Seasonal,2016,3,"Forever Sorting(BrickOwl, PT)","CFA14,578Avg: CFA6,031",-
71043-1,Hogwarts Castle,Harry Potter,2018,6020,"1brick4all(BrickOwl, IT)","CFA615,944Avg: CFA254,640",-
10215-1,Obi-Wan's Jedi Starfighter,Star Wars,2010,676,"BLUXE(BrickLink, FR)","CFA328,263Avg: CFA135,637",-
41145-1,Ariel and the Magical Spell,Disney Princess,2017,222,"eBay US(eBay, US)"," CFA41,014Avg: CFA16,934",-
10883-1,My First Tow Truck,Duplo,2019,11,"Amazon US(Amazon, US)","CFA14,490Avg: CFA5,979",-
10703-1,Creative Builder Box,Classic,2017,503,"eBay US(eBay, US)","CFA67,457Avg: CFA27,643",-
5006065-1,Black Friday 2019 Minifigure,LEGO Brand Store,2019,3,"Amazon US(Amazon, US)","CFA75,547List: CFA80,943Avg: CFA33,160",-
30272-1,A-Wing Starfighter,Star Wars,2015,58,"Forever Sorting(BrickOwl, PT)","CFA14,578Avg: CFA5,959",-
42079-1,Heavy Duty Forklift,Technic,2018,592,"eBay US(eBay, US)","CFA80,943Avg: CFA33,088",-
10258-1,London Bus,Creator,2017,1686,"1brick4all(BrickOwl, IT)","CFA196,131Avg: CFA80,085",-
60218-1,Desert Rally Racer,Town,2019,75,"Amazon US(Amazon, US)","CFA15,904Avg: CFA6,488",-
41183-1,The Goblin King's Evil Dragon,Elves,2017,339,"eBay US(eBay, US)","CFA45,844Avg: CFA18,652",-
30356-1,Hot Dog Stand,Town,2018,43,"CoSuRa(BrickOwl, DE)","CFA13,113Avg: CFA5,332",-
8882-1,Power Functions XL-Motor,Power Functions,2008,1,"Brick Takeover(BrickOwl, DE)","CFA23,658Avg: CFA9,585",-
75264-1,Kylo Ren's Shuttle Microfighter,Star Wars,2020,72,"3_BRICKS(BrickOwl, SI)","CFA15,907Avg: CFA6,443",-
21044-1,Paris,Architecture,2019,649,"1brick4all(BrickOwl, IT)","CFA78,059Avg: CFA31,554",-
75884-1,1968 Ford Mustang Fastback,Speed Champions,2018,183,"Brick Takeover(BrickOwl, DE)","CFA30,342Avg: CFA12,260",-
30460-1,Rex's Plantimal Ambush,The LEGO Movie,2019,32,"3_BRICKS(BrickOwl, SI)","CFA9,088Avg: CFA3,666",-
79015-1,Witch-King Battle,The Hobbit and Lord of the Rings,2014,101,"KE.Bricks(BrickLink, SE)","CFA45,957Avg: CFA18,493",-
70683-1,Spinjitzu Slam - Zane,Ninjago,2019,64,"Amazon US(Amazon, US)","CFA14,544Avg: CFA5,842",-
30002-1,Police Boat,Town,2009,30,"Forever Sorting(BrickOwl, PT)","CFA14,578Avg: CFA5,855",-
30342-1,Lamborghini Huracán Super Trofeo EVO,Speed Champions,2020,70,"Amazon US(Amazon, US)","CFA4,312List: CFA10,788Avg: CFA4,332",-
42088-1,Cherry Picker,Technic,2019,155,"Amazon US(Amazon, US)","CFA15,920Avg: CFA6,385",-
75956-1,Quidditch Match,Harry Potter,2018,500,"Brick Takeover(BrickOwl, DE)","CFA66,252Avg: CFA26,549",-
42125-1,"Ferrari 488 GTE ""AF Corse #51""",Technic,2021,1677,"1brick4all(BrickOwl, IT)","CFA261,727Avg: CFA104,833",-
41321-1,Snow Resort Off-Roader,Friends,2017,141,"eBay US(eBay, US)","CFA32,374Avg: CFA12,934",-
30611-1,R2-D2,Star Wars,2017,70,"Forever Sorting(BrickOwl, PT)","CFA36,441Avg: CFA14,545",-
41592-1,The Hulk,Brickheadz,2017,93,"1brick4all(BrickOwl, IT)","CFA32,142Avg: CFA12,822",-
7675-1,AT-TE Walker,Star Wars,2008,810,"The Vault(BrickLink, NL)","CFA393,909Avg: CFA157,108",-
7675-1,AT-TE Walker,Star Wars,2008,810,"Legrobi(BrickLink, HU)","CFA393,915Avg: CFA157,108",-
79011-1,Dol Guldur Ambush,The Hobbit and Lord of the Rings,2013,218,"Old historic sets(BrickLink, RU)","CFA48,699Avg: CFA19,418",-
42063-1,BMW R 1200 GS Adventure,Technic,2017,603,"Brick Takeover(BrickOwl, DE)","CFA121,458Avg: CFA48,367",-
71000-1,Waiter,Collectible Minifigures,2013,7,"Forever Sorting(BrickOwl, PT)","CFA36,442Avg: CFA14,488",-
30205-1,Pop Star,Friends,2015,34,"CoSuRa(BrickOwl, DE)","CFA6,553Avg: CFA2,604",-
30167-1,Iron Man vs. Fighting Drone,Super Heroes Marvel,2013,24,"Forever Sorting(BrickOwl, PT)","CFA36,442Avg: CFA14,475",-
30301-1,Batwing,Super Heroes DC,2014,45,"3_BRICKS(BrickOwl, SI)","CFA8,843Avg: CFA3,504",-
41162-1,"Ariel, Aurora, and Tiana's Royal Celebration",Disney Princess,2019,282,"Amazon UK(Amazon, GB)","CFA75,717Avg: CFA29,943",-
42094-1,Tracked Loader,Technic,2019,827,"Amazon US(Amazon, US)","CFA102,508Avg: CFA40,514",-
70669-1,Cole’s Earth Driller,Ninjago,2019,579,"Amazon US(Amazon, US)","CFA80,943Avg: CFA31,983",-
10175-1,Vader's TIE Advanced - UCS,Star Wars,2006,1212,"Macks Shop(BrickLink, US)","CFA1,349,146Avg: CFA532,018",-
30420-1,Harry Potter and Hedwig: Owl Delivery,Harry Potter,2020,31,"CoSuRa(BrickOwl, DE)","CFA10,200Avg: CFA4,021",-
30411-1,Chocolate Box & Flower,Friends,2020,75,"Amazon US(Amazon, US)","CFA4,317List: CFA6,740Avg: CFA2,651",-
8804-1,Lawn Gnome,Collectible Minifigures,2011,8,"Forever Sorting(BrickOwl, PT)","CFA15,484Avg: CFA6,081",-
76115-1,Spider Mech vs. Venom,Super Heroes Marvel,2019,612,"Amazon UK(Amazon, GB)","CFA76,220Avg: CFA29,875",-
40223-1,Snowglobe,Seasonal,2016,215,"Forever Sorting(BrickOwl, PT)","CFA65,592Avg: CFA25,686",-
8886-1,Power Functions Extension Wire,Power Functions,2008,1,"Brick Takeover(BrickOwl, DE)","CFA10,463Avg: CFA4,095",-
30361-1,Fire ATV,Town,2019,39,"Amazon US(Amazon, US)","CFA6,422Avg: CFA2,508",-
70654-1,Dieselnaut,Ninjago,2018,1188,"Badeloch's Bricks(BrickOwl, NL)","CFA163,989Avg: CFA64,034",-
40460-1,Roses,Other,2021,120,"Top und Rar in Germany(BrickLink, DE)","CFA32,170Avg: CFA12,551",-
41593-1,Captain Jack Sparrow,Brickheadz,2017,109,"1brick4all(BrickOwl, IT)","CFA38,701Avg: CFA15,094",-
60222-1,Snow Groomer,Town,2019,197,"Brick Takeover(BrickOwl, DE)","CFA32,765Avg: CFA12,765",-
30282-1,Super Secret Police Enforcer,The LEGO Movie,2014,40,"3_BRICKS(BrickOwl, SI)","CFA8,843Avg: CFA3,435",-
HARLEY-1,Harley-Davidson Mini Motorcycle,Creator,2019,71,"Amazon US(Amazon, US)","CFA53,939Avg: CFA20,938",-
30365-1,Space Satellite,Town,2019,36,"Amazon UK(Amazon, GB)","CFA6,856Avg: CFA2,661",-
75233-1,Droid Gunship,Star Wars,2019,389,"Amazon US(Amazon, US)","CFA107,905Avg: CFA41,806",-
75233-1,Droid Gunship,Star Wars,2019,389,"eBay US(eBay, US)","CFA107,926Avg: CFA41,806",-
10215-1,Obi-Wan's Jedi Starfighter,Star Wars,2010,676,"Global Collectables(BrickLink, AU)","CFA351,124Avg: CFA135,637",-
75135-1,Obi-Wan's Jedi Interceptor,Star Wars,2016,215,"eBay US(eBay, US)","CFA64,759Avg: CFA25,016",-
40335-1,Space Rocket Ride,LEGO Ideas and CUUSOO,2019,154,": Pricey, but worth it(BrickOwl, ES)","CFA39,357Avg: CFA15,159",-
75170-1,The Phantom,Star Wars,2017,269,"eBay US(eBay, US)","CFA70,156Avg: CFA27,015",-
41589-1,Captain America,Brickheadz,2017,79,"1brick4all(BrickOwl, IT)","CFA64,940Avg: CFA24,981",-
40410-1,Charles Dickens Tribute,Seasonal,2020,333,"Forever Sorting (BrickOwl, PT)","CFA65,592Avg: CFA25,212",-
60236-1,Straight and T-junction,Town,2019,2,"Brick Takeover(BrickOwl, DE)","CFA19,151Avg: CFA7,357",-
70661-1,Spinjitzu Zane,Ninjago,2019,109,"Amazon US(Amazon, US)","CFA16,724Avg: CFA6,409",-
